noted_date,temp,out/in
30-11-2018 23:58,37,Out
30-11-2018 23:56,36,Out
30-11-2018 23:33,37,Out
30-11-2018 23:31,37,Out
30-11-2018 23:19,37,Out
30-11-2018 23:11,37,Out
30-11-2018 23:09,37,Out
30-11-2018 22:35,37,Out
30-11-2018 22:33,37,Out
30-11-2018 22:31,37,Out
30-11-2018 22:25,37,Out
30-11-2018 22:23,38,Out
30-11-2018 22:09,37,Out
30-11-2018 22:05,37,Out
30-11-2018 21:57,37,Out
30-11-2018 21:45,37,Out
30-11-2018 21:41,38,Out
30-11-2018 21:37,37,Out
30-11-2018 21:35,38,Out
30-11-2018 21:29,37,Out
30-11-2018 21:27,38,Out
30-11-2018 21:21,37,Out
30-11-2018 21:17,37,Out
30-11-2018 21:11,37,Out
30-11-2018 21:05,38,Out
30-11-2018 21:03,37,Out
30-11-2018 21:01,38,Out
30-11-2018 20:55,37,Out
30-11-2018 20:51,37,Out
30-11-2018 20:49,37,Out
30-11-2018 20:47,36,Out
30-11-2018 20:45,36,Out
30-11-2018 20:43,36,Out
30-11-2018 20:41,37,Out
30-11-2018 20:39,36,Out
30-11-2018 20:37,37,Out
30-11-2018 20:31,38,Out
30-11-2018 20:27,37,Out
30-11-2018 20:25,37,Out
30-11-2018 20:23,37,Out
30-11-2018 20:15,38,Out
30-11-2018 20:09,37,Out
30-11-2018 20:07,37,Out
30-11-2018 20:05,37,Out
30-11-2018 20:03,38,Out
30-11-2018 20:01,37,Out
30-11-2018 19:55,37,Out
30-11-2018 19:53,37,Out
30-11-2018 19:51,37,Out
30-11-2018 19:49,36,Out
30-11-2018 19:43,37,Out
30-11-2018 19:29,37,Out
30-11-2018 19:27,36,Out
30-11-2018 18:37,37,Out
30-11-2018 18:35,37,Out
30-11-2018 18:31,36,Out
30-11-2018 18:25,37,Out
30-11-2018 18:15,37,Out
30-11-2018 18:07,37,Out
30-11-2018 18:05,37,Out
30-11-2018 18:03,36,Out
30-11-2018 18:01,35,Out
30-11-2018 17:59,35,Out
30-11-2018 17:57,35,Out
30-11-2018 17:55,36,Out
30-11-2018 17:53,35,Out
30-11-2018 17:51,34,Out
30-11-2018 17:49,34,Out
30-11-2018 17:47,34,Out
30-11-2018 17:43,35,Out
30-11-2018 17:41,35,Out
30-11-2018 17:37,36,Out
30-11-2018 17:31,36,Out
30-11-2018 17:29,37,Out
30-11-2018 17:27,36,Out
30-11-2018 17:25,35,Out
30-11-2018 17:21,34,Out
30-11-2018 17:17,35,Out
30-11-2018 17:15,34,Out
30-11-2018 17:07,35,Out
30-11-2018 17:03,35,Out
30-11-2018 16:55,36,Out
30-11-2018 16:51,36,Out
30-11-2018 16:49,37,Out
30-11-2018 16:43,36,Out
30-11-2018 16:41,36,Out
30-11-2018 16:39,37,Out
30-11-2018 16:37,38,Out
30-11-2018 16:35,38,Out
30-11-2018 16:23,38,Out
30-11-2018 16:19,39,Out
30-11-2018 16:15,38,Out
30-11-2018 16:07,39,Out
30-11-2018 16:01,39,Out
30-11-2018 15:53,39,Out
30-11-2018 15:51,38,Out
30-11-2018 15:49,39,Out
30-11-2018 15:41,39,Out
30-11-2018 15:39,39,Out
30-11-2018 15:37,39,Out
30-11-2018 15:31,39,Out
30-11-2018 15:27,39,Out
30-11-2018 15:25,38,Out
30-11-2018 15:21,39,Out
30-11-2018 15:05,39,Out
30-11-2018 14:59,39,Out
30-11-2018 14:57,38,Out
30-11-2018 14:49,39,Out
30-11-2018 14:45,39,Out
30-11-2018 14:41,39,Out
30-11-2018 14:39,38,Out
30-11-2018 14:27,39,Out
30-11-2018 14:23,39,Out
30-11-2018 14:17,39,Out
30-11-2018 14:15,39,Out
30-11-2018 14:11,40,Out
30-11-2018 14:09,39,Out
30-11-2018 14:07,40,Out
30-11-2018 14:03,39,Out
30-11-2018 13:57,40,Out
30-11-2018 13:55,39,Out
30-11-2018 13:51,40,Out
30-11-2018 13:47,40,Out
30-11-2018 13:41,40,Out
30-11-2018 13:39,40,Out
30-11-2018 13:33,40,Out
30-11-2018 13:27,40,Out
30-11-2018 13:25,41,Out
30-11-2018 13:15,40,Out
30-11-2018 13:11,41,Out
30-11-2018 13:05,40,Out
30-11-2018 13:03,40,Out
30-11-2018 13:01,41,Out
30-11-2018 12:55,41,Out
30-11-2018 12:47,40,Out
30-11-2018 12:45,41,Out
30-11-2018 12:37,41,Out
30-11-2018 12:35,41,Out
30-11-2018 12:33,41,Out
30-11-2018 12:25,41,Out
30-11-2018 12:19,41,Out
30-11-2018 12:17,41,Out
30-11-2018 12:11,42,Out
30-11-2018 12:09,41,Out
30-11-2018 11:57,42,Out
30-11-2018 11:55,43,Out
30-11-2018 11:39,42,Out
30-11-2018 11:37,43,Out
30-11-2018 11:31,42,Out
30-11-2018 11:29,43,Out
30-11-2018 11:25,42,Out
30-11-2018 11:17,43,Out
30-11-2018 11:15,42,Out
30-11-2018 11:13,44,Out
30-11-2018 11:11,42,Out
30-11-2018 11:09,43,Out
30-11-2018 11:05,42,Out
30-11-2018 10:59,43,Out
30-11-2018 10:57,42,Out
30-11-2018 10:47,43,Out
30-11-2018 10:43,42,Out
30-11-2018 10:35,43,Out
30-11-2018 10:27,42,Out
30-11-2018 10:15,43,Out
30-11-2018 10:13,42,Out
30-11-2018 10:09,43,Out
30-11-2018 10:07,42,Out
30-11-2018 10:01,43,Out
30-11-2018 09:59,42,Out
30-11-2018 09:57,43,Out
30-11-2018 09:51,42,Out
30-11-2018 09:49,43,Out
30-11-2018 09:35,42,Out
30-11-2018 09:33,43,Out
30-11-2018 08:47,42,Out
30-11-2018 08:45,41,Out
30-11-2018 08:43,43,Out
30-11-2018 08:25,41,Out
30-11-2018 08:23,40,Out
30-11-2018 08:18,41,Out
30-11-2018 08:17,41,Out
30-11-2018 08:16,42,Out
30-11-2018 08:15,42,Out
30-11-2018 08:12,41,Out
30-11-2018 08:10,41,Out
30-11-2018 08:00,41,Out
30-11-2018 07:58,41,Out
30-11-2018 07:52,41,Out
30-11-2018 07:50,42,Out
30-11-2018 07:42,41,Out
30-11-2018 07:38,41,Out
30-11-2018 07:36,41,Out
30-11-2018 07:34,41,Out
30-11-2018 07:28,41,Out
30-11-2018 07:26,41,Out
30-11-2018 07:24,41,Out
30-11-2018 07:18,41,Out
30-11-2018 07:12,41,Out
30-11-2018 07:10,40,Out
30-11-2018 07:04,41,Out
30-11-2018 07:00,40,Out
30-11-2018 06:56,40,Out
30-11-2018 06:54,40,Out
30-11-2018 06:50,40,Out
30-11-2018 06:48,41,Out
30-11-2018 06:38,40,Out
30-11-2018 06:36,41,Out
30-11-2018 06:34,39,Out
30-11-2018 06:30,40,Out
30-11-2018 06:28,41,Out
30-11-2018 06:20,40,Out
30-11-2018 06:16,40,Out
30-11-2018 06:14,40,Out
30-11-2018 06:10,40,Out
30-11-2018 06:08,40,Out
30-11-2018 06:06,39,Out
30-11-2018 06:04,39,Out
30-11-2018 06:02,39,Out
30-11-2018 05:58,39,Out
30-11-2018 05:54,38,Out
30-11-2018 05:52,39,Out
30-11-2018 05:50,39,Out
30-11-2018 05:48,38,Out
30-11-2018 05:46,39,Out
30-11-2018 05:44,39,Out
30-11-2018 05:42,38,Out
30-11-2018 05:36,39,Out
30-11-2018 05:30,39,Out
30-11-2018 05:28,40,Out
30-11-2018 05:26,39,Out
30-11-2018 05:24,40,Out
30-11-2018 05:18,39,Out
30-11-2018 05:16,38,Out
30-11-2018 05:14,39,Out
30-11-2018 05:12,38,Out
30-11-2018 05:10,39,Out
30-11-2018 05:00,38,Out
30-11-2018 04:58,39,Out
30-11-2018 04:56,38,Out
30-11-2018 04:40,38,Out
30-11-2018 04:38,38,Out
30-11-2018 04:36,37,Out
30-11-2018 04:34,38,Out
30-11-2018 04:32,37,Out
30-11-2018 04:24,37,Out
30-11-2018 04:20,37,Out
30-11-2018 04:18,37,Out
30-11-2018 04:14,36,Out
30-11-2018 04:12,37,Out
30-11-2018 04:10,37,Out
30-11-2018 04:06,37,Out
30-11-2018 04:02,36,Out
30-11-2018 03:54,37,Out
30-11-2018 03:50,36,Out
30-11-2018 03:36,36,Out
30-11-2018 03:32,36,Out
30-11-2018 03:22,36,Out
30-11-2018 03:20,35,Out
30-11-2018 03:18,36,Out
30-11-2018 03:16,35,Out
30-11-2018 03:12,36,Out
30-11-2018 03:10,36,Out
30-11-2018 03:08,34,Out
30-11-2018 03:04,36,Out
30-11-2018 03:02,35,Out
30-11-2018 03:00,36,Out
30-11-2018 02:58,35,Out
30-11-2018 02:56,35,Out
30-11-2018 02:54,35,Out
30-11-2018 02:52,36,Out
30-11-2018 02:36,35,Out
30-11-2018 02:34,35,Out
30-11-2018 02:32,36,Out
30-11-2018 02:24,35,Out
30-11-2018 02:22,34,Out
30-11-2018 02:20,36,Out
30-11-2018 02:18,35,Out
30-11-2018 02:16,35,Out
30-11-2018 02:14,36,Out
30-11-2018 02:06,35,Out
30-11-2018 02:04,36,Out
30-11-2018 02:02,35,Out
30-11-2018 02:00,36,Out
30-11-2018 01:58,36,Out
30-11-2018 01:54,36,Out
30-11-2018 01:46,35,Out
30-11-2018 01:44,36,Out
30-11-2018 01:38,35,Out
30-11-2018 01:34,36,Out
30-11-2018 01:32,36,Out
30-11-2018 01:30,35,Out
30-11-2018 01:26,36,Out
30-11-2018 01:22,35,Out
30-11-2018 01:20,36,Out
30-11-2018 01:18,35,Out
30-11-2018 01:08,36,Out
30-11-2018 01:06,35,Out
